Метод,Датасет,Силуэт,ARI,CH Index,DB Index,Кластеры,Шум
K-Means,"D1 (исходный, 6 признаков)",0.5594266653315334,0.3976764963203776,5741.24812494287,0.5606375707682612,3,0
K-Means,"D2 (PCA, 2 компоненты)",0.5596210547813063,0.3976764963203776,5743.275288000502,0.5602801496889378,3,0
K-Means,"D3 (t-SNE, 2 компоненты)",0.44318675994873047,0.7277645217026503,2981.874755859375,0.7656285380706332,3,0
Agglomerative,"D1 (исходный, 6 признаков)",0.5356126036069556,0.43155222423261996,5152.9942126698725,0.4987850997253158,3,0
Agglomerative,"D2 (PCA, 2 компоненты)",0.5205337425741946,0.4369168840410855,5046.496622830796,0.49988443169727975,3,0
Agglomerative,"D3 (t-SNE, 2 компоненты)",0.43849846720695496,0.6848821143586991,2846.94580078125,0.7754626352477983,3,0
DBSCAN,"D1 (исходный, 6 признаков)",0.5043027518477674,9.447273183509147e-05,80.54455038197113,1.9197435581977762,2,14
DBSCAN,"D2 (PCA, 2 компоненты)",0.504335221864307,9.447273183509147e-05,80.55026334944311,1.9193284513974807,2,14
DBSCAN,"D3 (t-SNE, 2 компоненты)",-0.7265448570251465,0.0001414161830559631,7.306935787200928,1.1156232396837058,26,2874
